Namespace(algo='per-ddpg', episode_num=10000, interim_test_num=1, load_from=None, log=True, max_episode_steps=10000, num_stack=4, relaunch_period=5, render=False, reward_type='high_speed_steering', save_period=50, seed=777, test=False, test_period=100, track='none')
{'GAMMA': 0.99, 'TAU': 0.005, 'BUFFER_SIZE': 1000000, 'BATCH_SIZE': 128, 'LR_ACTOR': 0.0003, 'LR_CRITIC': 0.0003, 'OU_NOISE_THETA': 0.0, 'OU_NOISE_SIGMA': 0.0, 'PER_ALPHA': 0.6, 'PER_BETA': 0.4, 'PER_EPS': 1e-06, 'WEIGHT_DECAY': 5e-06, 'INITIAL_RANDOM_ACTION': 10000, 'MULTIPLE_LEARN': 1, 'GRADIENT_CLIP_AC': 0.5, 'GRADIENT_CLIP_CR': 1.0}
1;1002;1002;-328;-0.115788;-0.166;0.050
2;1002;2004;228;-0.203006;-0.275;0.072
3;1002;3006;103;-0.126823;-0.202;0.075
4;1002;4008;742;-0.029013;-0.098;0.069
5;1002;5010;-728;0.005168;-0.041;0.046
6;1002;6012;-906;0.017243;-0.019;0.036
7;522;6534;-287;0.021008;-0.012;0.033
8;1002;7536;-922;0.024328;-0.008;0.032
9;1002;8538;-829;0.032046;-0.006;0.038
10;1002;9540;1189;0.037353;-0.005;0.043
11;467;10007;92;0.045839;-0.006;0.052
12;123;10130;2749;0.062377;-0.005;0.067
13;346;10476;1769;0.066174;-0.004;0.070
14;22;10498;119;0.076554;-0.004;0.080
15;22;10520;139;0.077461;-0.008;0.086
16;22;10542;-8;0.084392;-0.005;0.089
17;22;10564;65;0.082591;-0.003;0.085
18;1004;11568;3798;0.088087;-0.004;0.092
19;22;11590;134;0.082324;-0.005;0.088
20;22;11612;106;0.081231;-0.004;0.085
21;22;11634;256;0.089009;-0.004;0.093
22;22;11656;234;0.102184;-0.004;0.106
23;22;11678;257;0.100900;-0.003;0.104
24;23;11701;280;0.140520;-0.006;0.147
25;22;11723;110;0.108755;-0.003;0.112
26;28;11751;366;0.112611;-0.004;0.117
27;22;11773;184;0.112052;-0.004;0.116
28;22;11795;176;0.108812;-0.003;0.112
29;23;11818;238;0.113952;-0.003;0.117
30;22;11840;158;0.115192;-0.003;0.119
31;88;11928;106;0.114609;-0.003;0.118
32;32;11960;-47;0.123206;-0.003;0.126
33;28;11988;7;0.138785;-0.003;0.142
34;22;12010;0;0.151858;-0.002;0.154
35;28;12038;17;0.147124;-0.003;0.150
36;45;12083;849;0.155450;-0.003;0.159
37;25;12108;208;0.076112;-0.082;0.158
38;25;12133;377;0.164195;-0.002;0.166
39;28;12161;391;0.171042;-0.003;0.174
40;26;12187;374;0.170346;-0.004;0.174
41;42;12229;475;0.169517;-0.004;0.174
42;41;12270;497;0.157933;-0.003;0.161
43;43;12313;459;0.156964;-0.003;0.160
44;27;12340;148;0.151103;-0.002;0.153
45;27;12367;138;0.158509;-0.003;0.161
46;35;12402;543;0.186957;-0.003;0.190
47;54;12456;1386;0.159124;-0.003;0.162
48;25;12481;393;0.154233;-0.002;0.157
49;25;12506;388;0.155913;-0.003;0.159
50;54;12560;973;0.154708;-0.003;0.157
51;22;12582;174;0.149602;-0.002;0.152
52;22;12604;184;0.154638;-0.003;0.158
53;22;12626;189;0.150637;-0.002;0.153
54;22;12648;190;0.160725;-0.003;0.163
55;22;12670;200;0.142013;-0.002;0.144
56;23;12693;314;0.148071;-0.003;0.151
57;22;12715;261;0.154324;-0.003;0.157
58;30;12745;472;0.143526;-0.004;0.147
59;24;12769;327;0.150206;-0.003;0.153
60;24;12793;157;0.146193;-0.003;0.149
61;576;13369;6566;0.133232;-0.002;0.136
62;163;13532;146;0.127269;-0.003;0.131
63;479;14011;4907;0.126048;-0.004;0.130
64;236;14247;124;0.109555;-0.003;0.113
65;124;14371;217;0.104443;-0.003;0.107
66;33;14404;11;0.104931;-0.003;0.108
67;22;14426;-36;0.101724;-0.002;0.104
68;30;14456;24;0.109204;-0.002;0.111
69;29;14485;51;0.107169;-0.003;0.110
70;30;14515;35;0.106410;-0.003;0.109
71;22;14537;30;0.115410;-0.004;0.119
72;22;14559;29;0.103037;-0.003;0.106
73;22;14581;30;0.102078;-0.003;0.105
74;22;14603;32;0.106417;-0.003;0.110
75;22;14625;32;0.123485;-0.002;0.126
76;22;14647;-22;0.104281;-0.002;0.107
77;22;14669;-44;0.119311;-0.003;0.122
78;22;14691;-61;0.105692;-0.002;0.108
79;22;14713;-31;0.115004;-0.005;0.120
80;22;14735;-42;0.110216;-0.003;0.113
81;25;14760;17;0.108754;-0.003;0.112
82;25;14785;11;0.107929;-0.003;0.111
83;26;14811;22;0.125779;-0.002;0.128
84;25;14836;4;0.119917;-0.003;0.123
85;24;14860;0;0.109266;-0.002;0.111
86;22;14882;77;0.107358;-0.002;0.109
87;22;14904;82;0.108421;-0.003;0.111
88;22;14926;100;0.111854;-0.003;0.114
89;22;14948;92;0.111241;-0.003;0.114
90;22;14970;89;0.108127;-0.002;0.111
91;22;14992;95;0.113042;-0.002;0.115
92;22;15014;99;0.110822;-0.002;0.113
93;22;15036;81;0.114822;-0.003;0.118
94;22;15058;104;0.115987;-0.002;0.118
95;22;15080;101;0.113432;-0.002;0.115
96;157;15237;2479;0.113105;-0.002;0.115
97;124;15361;2726;0.120459;-0.002;0.122
98;124;15485;2794;0.109557;-0.002;0.112
99;331;15816;2432;0.105427;-0.002;0.108
100;155;15971;2499;0.107976;-0.002;0.110
101;22;15993;144;0.099089;-0.008;0.108
102;22;16015;136;0.100698;-0.002;0.103
103;23;16038;161;0.098610;-0.002;0.100
104;24;16062;216;0.105539;-0.004;0.109
105;25;16087;209;0.101307;-0.002;0.104
106;25;16112;187;0.104114;-0.003;0.107
107;23;16135;147;0.098309;-0.002;0.100
108;23;16158;131;0.094038;-0.002;0.097
109;23;16181;129;0.098073;-0.003;0.101
110;30;16211;138;0.105907;-0.003;0.109
111;26;16237;120;0.100591;-0.001;0.102
112;22;16259;57;0.102902;-0.002;0.105
113;31;16290;186;0.104381;-0.002;0.107
114;22;16312;-35;0.108335;-0.004;0.113
115;1002;17314;-726;0.098096;-0.002;0.100
