Namespace(algo='sac', episode_num=10000, filter=True, interim_test_num=1, load_from=None, log=True, max_episode_steps=10000, num_stack=4, relaunch_period=5, render=False, reward_type='extra_github', save_period=50, seed=777, test=False, test_period=100, track='none')
{'GAMMA': 0.95, 'TAU': 0.005, 'W_ENTROPY': 0.001, 'W_MEAN_REG': 0.0, 'W_STD_REG': 0.0, 'W_PRE_ACTIVATION_REG': 0.0, 'LR_ACTOR': 0.0003, 'LR_VF': 0.0003, 'LR_QF1': 0.0003, 'LR_QF2': 0.0003, 'LR_ENTROPY': 0.0003, 'POLICY_UPDATE_FREQ': 2, 'BUFFER_SIZE': 1000000, 'BATCH_SIZE': 128, 'AUTO_ENTROPY_TUNING': True, 'WEIGHT_DECAY': 0.0, 'INITIAL_RANDOM_ACTION': 10000, 'MULTIPLE_LEARN': 1, 'BRAKE_ENABLE': True, 'BRAKE_REGION': 200000, 'BRAKE_DIST_MU': 100000, 'BRAKE_DIST_SIGMA': 30000, 'BRAKE_FACTOR': 0.1}
1;255;255;-8;10.967;0.002;0.007;0.006;10.966;-0.013;e-track-1;7;12.75;2.13
2;252;507;-7;0.143;0.000;0.115;0.108;0.100;-0.180;e-track-1;7;13.82;2.30
3;252;759;-8;-0.003;0.010;0.108;0.107;0.200;-0.423;e-track-1;7;16.25;2.07
4;252;1011;-8;-0.215;-0.021;0.159;0.156;0.153;-0.672;e-track-1;7;16.46;1.87
5;252;1263;-7;-0.425;-0.007;0.197;0.198;0.112;-0.929;e-track-1;7;16.85;1.93
6;252;1515;-7;-0.632;-0.004;0.228;0.234;0.087;-1.180;e-track-2;7;11.19;2.13
7;252;1767;-8;-0.830;-0.002;0.263;0.263;0.078;-1.433;e-track-2;7;19.04;3.03
8;253;2020;-7;-0.916;-0.009;0.334;0.350;0.090;-1.685;e-track-2;7;14.77;2.10
9;252;2272;-7;-1.301;-0.005;0.277;0.283;0.079;-1.937;e-track-2;7;12.14;2.37
10;252;2524;-7;-1.425;-0.007;0.344;0.341;0.081;-2.188;e-track-2;7;16.30;2.09
11;252;2776;-7;-1.801;-0.000;0.294;0.273;0.065;-2.432;e-track-3;7;17.41;2.08
12;252;3028;-7;-1.838;-0.003;0.364;0.372;0.101;-2.675;e-track-3;7;20.68;2.44
13;252;3280;-8;-1.943;-0.006;0.439;0.445;0.091;-2.914;e-track-3;7;9.44;1.77
