Namespace(algo='sac-lstm', episode_num=10000, filter=False, interim_test_num=1, load_from=None, log=True, max_episode_steps=10000, num_stack=1, relaunch_period=5, render=False, reward_type='extra_github', save_period=50, seed=777, test=False, test_period=100, track='none')
{'GAMMA': 0.99, 'TAU': 0.005, 'W_ENTROPY': 0.001, 'W_MEAN_REG': 0.0, 'W_STD_REG': 0.0, 'W_PRE_ACTIVATION_REG': 0.0, 'LR_ACTOR': 0.0003, 'LR_VF': 0.0003, 'LR_QF1': 0.0003, 'LR_QF2': 0.0003, 'LR_ENTROPY': 0.0003, 'POLICY_UPDATE_FREQ': 2, 'BATCH_SIZE': 32, 'EPISODE_SIZE': 1000, 'STEP_SIZE': 16, 'AUTO_ENTROPY_TUNING': True, 'WEIGHT_DECAY': 0.0, 'INITIAL_RANDOM_ACTION': 10000, 'MULTIPLE_LEARN': 1, 'BRAKE_REGION': 200000, 'BRAKE_DIST_MU': 100000, 'BRAKE_DIST_SIGMA': 30000, 'BRAKE_FACTOR': 0.1}
155;370;38499;145;0.764;0.000;0.266;0.275;0.137;0.086;wheel-1;7;143.22;117.06
156;212;38711;81;0.679;0.000;0.348;0.360;0.207;-0.236;wheel-2;6;141.40;109.17
157;128;38839;16;0.696;0.001;0.331;0.353;0.105;-0.094;wheel-2;3;125.64;95.46
158;404;39243;-78;0.726;-0.005;0.361;0.410;0.124;-0.167;wheel-2;7;141.24;64.90
159;112;39355;-16;0.842;0.001;0.355;0.342;0.120;0.025;wheel-2;7;125.02;82.39
160;369;39724;142;1.231;0.000;0.374;0.395;0.123;0.340;wheel-2;3;142.15;115.25
161;252;39976;4;1.469;-0.001;0.365;0.387;0.141;0.576;aalborg;7;110.89;21.24
162;290;40266;5;1.097;-0.004;0.370;0.418;0.170;0.140;aalborg;7;119.13;35.88
163;252;40518;12;1.025;0.004;0.422;0.404;0.152;0.045;aalborg;7;129.19;35.57
164;271;40789;15;1.221;-0.001;0.414;0.438;0.124;0.246;aalborg;7;112.04;32.81
165;252;41041;7;1.723;-0.004;0.532;0.541;0.224;0.428;aalborg;7;128.91;21.72
